id,id2,-,-,-,-,name,-,description,price,price2,-,-,-,option groups,-,-,-,-,photo,-,-,-,category,-
43,43,,,,,Energie,,"Mango, banaan, gember, wortel, appel en chiazaad",5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,24d090c1d02893666ec419feaac0d8e6.webp,,,9,Sappen en shakes,
44,44,,,,,Zomergroen,,"Groene groentes, matcha, munt, banaan, dadel, appel, mango en havermelk",5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,3bc2e37f12ffccf1f792771bce3b1e8f.webp,,,9,Sappen en shakes,
45,45,,,,,Alles-in-één,,Combi van energie én zomergroen,5.5,5.5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,1596a13f918c76cb5d55a74b14a2c680.webp,,,9,Sappen en shakes,
46,46,,,,,Oppepper,,"Cold pressed juice van ananas, gember, grapefruit, peer, bieten en vitamine C",6,6,0,0,0,673678612-3,0,0,"delivery,takeaway",1,,,,9,Sappen en shakes,
47,47,,,,,Verse sinaasappelsap,,Dagelijks vers geperst,5,5,0,0,0,673678612-3,0,0,"delivery,takeaway",1,f9f22911a29f9ec50cff7b0c1d3f2075.webp,,,9,Sappen en shakes,
48,48,,,,,Kombucha,,Op basis van gefermenteerde thee met kurkuma,4.5,4.5,0,0,0,,0,0,"delivery,takeaway",1,b57fbbbee24b77bda1425894e2a4594f.webp,,,9,Frisdranken,
49,49,,,,,Cola mama,,Cola met limoen en bergamot,4.25,4.25,0,0,0,,0,0,"delivery,takeaway",1,bb91b18b693aa6f38bd2279399c2b3f8.webp,,,9,Frisdranken,
50,50,,,,,Orange mama,,Sprankelende sinas,4.25,4.25,0,0,0,,0,0,"delivery,takeaway",1,,,,9,Frisdranken,
51,51,,,,,Schulp appelsap,,,3.5,3.5,0,0,0,,0,0,"delivery,takeaway",1,c4388b1d434b2a14948b64ee8cccf190.webp,,,9,Frisdranken,
52,52,,,,,Mineraalwater plat,,,3.25,3.25,0,0,0,,0,0,"delivery,takeaway",1,0e3f686de1b316a1747efbcdfbf69c2e.webp,,,9,Frisdranken,
53,53,,,,,Mineraalwater bruisend,,,3.25,3.25,0,0,0,,0,0,"delivery,takeaway",1,0e3f686de1b316a1747efbcdfbf69c2e.webp,,,9,Frisdranken,
54,54,,,,,Zomerbubbel,,"Bruiswater met vlierbloesem, munt en aardbei",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,0a8e11084f9ee088b67c880ba6220e64.webp,,,9,Frisdranken,
55,55,,,,,Gember sereh,,"Bruisend met gember, sereh en citroen",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,06e8e1e205a97d62b3a603dbeb6cc423.webp,,,9,Frisdranken,
56,56,,,,,IJsthee citroen en munt,,Gemaakt van de Anne&Max ijsthee melange. Huisgemaakt,4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,a3c6fc024647f92398b58d03d59b315e.webp,,,9,Frisdranken,
57,57,,,,,Groene ijsthee,,"Fris en zoet met jasmijn, framboos, moringa en munt. Huisgemaakt",4,4,0,0,0,673678622-2,0,0,"delivery,takeaway",1,be04e18a7cd97a7e6f67c06b9888e409.webp,,,9,Frisdranken,
58,58,,,,,Huiskamer espresso 250 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Single origin uit Peru. Fruitige espresso met diepe smaaktonen van pure chocolade, rode kersen en hazelnoten. In combinatie met melk, net een vloeibare pure hazelnoot chocoladereep in een kopje",9.5,9.5,0,0,0,,0,0,"delivery,takeaway",1,b8723c8946e08eec34f73245ba1a1741.webp,,,9,Voor thuis,
59,59,,,,,Huiskamer espresso 500 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Single origin uit Peru. Fruitige espresso met diepe smaaktonen van pure chocolade, rode kersen en hazelnoten. In combinatie met melk, net een vloeibare pure hazelnoot chocoladereep in een kopje",18,18,0,0,0,,0,0,"delivery,takeaway",1,f271c82107ab3dc04ae21861a56aea18.webp,,,9,Voor thuis,
60,60,,,,,Huiskamer filterkoffie 250 gram,,"Speciaal voor Anne&Max geselecteerd en gebrand. Biologisch en 100% Arabica. Bonen uit Peru en Ethiopië. Romig zoete filterkoffie met smaaktonen van melkchocolade, ahornsiroop en aardbei",9.75,9.75,0,0,0,,0,0,"delivery,takeaway",1,741e4764dc564e4923e5d9361025e05f.webp,,,9,Voor thuis,
